SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY
CZ0410168;91D0;0,404312976;0;5
CZ0410176;4030;NA;NA;NA
CZ0410176;8220;NA;NA;NA
CZ0410401;9410;2,090811363;1,290650409;4
CZ0410401;7110;NA;NA;NA
CZ0410401;7120;NA;NA;NA
CZ0410401;7140;NA;NA;NA
CZ0410401;91D0;3,009018551;1,040351073;8
CZ0410404;9410;2,556249003;1,010678265;7
CZ0410404;7140;NA;NA;NA
CZ0410404;3160;NA;NA;NA
CZ0410404;3150;NA;NA;NA
CZ0410413;9130;0;0;1
CZ0410413;9110;0,588142635;0;28
CZ0410413;9170;0,109625005;0;2
CZ0410413;8220;NA;NA;NA
CZ0410413;9180;0,557034606;0;20
CZ0410413;3260;NA;NA;NA
CZ0410413;9,10E+01;0,066840704;0;8
CZ0410414;9410;30,13354917;11,42549891;71
CZ0410414;7110;NA;NA;NA
CZ0410414;7140;NA;NA;NA
CZ0410414;91D0;5,84495899;2,474368195;19
CZ0410438;3140;NA;NA;NA
CZ0410439;3140;NA;NA;NA
CZ0413177;3160;NA;NA;NA
CZ0413177;6430;NA;NA;NA
CZ0413184;3140;NA;NA;NA
CZ0413190;3140;NA;NA;NA
CZ0414026;9410;0,455750244;0;5
CZ0414026;6410;NA;NA;NA
CZ0414026;6230;NA;NA;NA
CZ0414026;4030;NA;NA;NA
CZ0414026;8220;NA;NA;NA
CZ0414026;7140;NA;NA;NA
CZ0414026;6430;NA;NA;NA
CZ0414027;6410;NA;NA;NA
CZ0414027;6230;NA;NA;NA
CZ0414027;4030;NA;NA;NA
CZ0414027;3130;NA;NA;NA
CZ0414027;7140;NA;NA;NA
CZ0414027;3160;NA;NA;NA
CZ0414027;9,10E+01;0,710163513;0;2
CZ0414110;9410;258,6910681;143,3394957;325
CZ0414110;7110;NA;NA;NA
CZ0414110;6230;NA;NA;NA
CZ0414110;4030;NA;NA;NA
CZ0414110;6520;NA;NA;NA
CZ0414110;8220;NA;NA;NA
CZ0414110;7140;NA;NA;NA
CZ0414110;91D0;10,66989656;1,231745207;99
CZ0414110;9140;0;0;1
CZ0414127;9130;278,607165;145,6394884;665
CZ0414127;91I0;31,46390964;13,54952402;71
CZ0414127;6510;NA;NA;NA
CZ0414127;8310;NA;NA;NA
CZ0414127;9180;28,88760536;9,828871155;189
CZ0414127;8230;NA;NA;NA
CZ0414127;6210;NA;NA;NA
CZ0414127;3150;NA;NA;NA
CZ0414127;9,10E+01;19,28890824;6,748900151;208
CZ0420004;9170;0;0;0
CZ0420004;6210;NA;NA;NA
CZ0420007;9170;0;0;0
CZ0420007;91H0;0;0;0
CZ0420007;6210;NA;NA;NA
CZ0420008;91U0;0;0;0
CZ0420012;3270;NA;NA;NA
CZ0420012;4030;NA;NA;NA
CZ0420012;5130;NA;NA;NA
CZ0420012;8220;NA;NA;NA
CZ0420012;40A0;NA;NA;NA
CZ0420012;3260;NA;NA;NA
CZ0420012;6190;NA;NA;NA
CZ0420012;8230;NA;NA;NA
CZ0420012;6210;NA;NA;NA
CZ0420012;9,10E+01;2,22E-06;0;2
CZ0420013;9170;0;0;0
CZ0420013;40A0;NA;NA;NA
CZ0420013;9180;0;0;0
CZ0420013;6190;NA;NA;NA
CZ0420013;8160;NA;NA;NA
CZ0420014;8220;NA;NA;NA
CZ0420014;40A0;NA;NA;NA
CZ0420014;9180;0;0;0
CZ0420014;6190;NA;NA;NA
CZ0420014;6210;NA;NA;NA
CZ0420014;6110;NA;NA;NA
CZ0420015;9170;1,317058029;0;4
CZ0420015;7220;NA;NA;NA
CZ0420015;91F0;0,02325486;0;2
CZ0420021;9130;0,048734703;0;1
CZ0420021;9110;0;0;0
CZ0420021;8220;NA;NA;NA
CZ0420021;9180;0,000955455;0;1
CZ0420026;8220;NA;NA;NA
CZ0420026;40A0;NA;NA;NA
CZ0420026;9180;0,03299002;0;1
